country,capital,population
North Korea,Pyongyang,22912177
Yemen,Sanaa,23495361
Ghana,Accra,24339838
Saudi Arabia,Riyadh,25731776
Venezuela,Caracas,27223228
Uzbekistan,Tashkent,27865738
Malaysia,Kuala Lumpur,28274729
Nepal,Kathmandu,28951852
Afghanistan,Kabul,29121286
Iraq,Baghdad,29671605
Peru,Lima,29907003
Morocco,Rabat,31627428
Uganda,Kampala,33398682
Canada,Ottawa,33679000
Algeria,Algiers,34586184
Sudan,Khartoum,35000000
Poland,Warsaw,38500000
Kenya,Nairobi,40046566
Argentina,Buenos Aires,41343201
Tanzania,Dodoma,41892895
Ukraine,Kiev,45415596
Spain,Madrid,46505963
Colombia,Bogotá,47790000
South Korea,Seoul,48422644
South Africa,Pretoria,49000000
Myanmar [Burma],Naypyitaw,53414374
Italy,Rome,60340328
United Kingdom,London,62348447
France,Paris,64768389
Thailand,Bangkok,67089500
Democratic Republic of the Congo,Kinshasa,70916439
Iran,Tehran,76923300
Turkey,Ankara,77804122
Egypt,Cairo,80471869
Germany,Berlin,81802257
Ethiopia,Addis Ababa,88013491
Vietnam,Hanoi,89571130
Philippines,Manila,99900177
Mexico,Mexico City,112468855
Japan,Tokyo,127288000
Russia,Moscow,140702000
Nigeria,Abuja,154000000
Bangladesh,Dhaka,156118464
Pakistan,Islamabad,184404791
Brazil,Brasília,201103330
Indonesia,Jakarta,242968342
United States,Washington,310232863
India,New Delhi,1173108018
China,Beijing,1330044000
